0,0,0
0,0,0
-6599.72,-6599.72,-6599.72
-16005,-16005,-16005
-24012.2,-24012.2,-24012.2
-26161.4,-26161.4,-26161.4
-31349.3,-31349.3,-31349.3
-33285.6,-33285.6,-33285.6
-37600.4,-37600.4,-37600.4
-39758.9,-39758.9,-39758.9
-43462.8,-43462.8,-43462.8
-44616.6,-44616.6,-44616.6
-46841,-46841,-46841
-48301,-48301,-48301
-48338.4,-48338.4,-48338.4
-48329.5,-48329.5,-48329.5
-48160.9,-48160.9,-48160.9
-47044.6,-47044.6,-47044.6
-45936.8,-45936.8,-45936.8
-41193.9,-41193.9,-41193.9
-36630.8,-36630.8,-36630.8
-36390.3,-36390.3,-36390.3
-36240.3,-36240.3,-36240.3
-35665,-35665,-35665
-29664.7,-29664.7,-29664.7
-28636.7,-28636.7,-28636.7
-26375,-26375,-26375
-17422.8,-17422.8,-17422.8
-16640.7,-16640.7,-16640.7
-16133.2,-16133.2,-16133.2
-15084.7,-15084.7,-15084.7
-5114.61,-5114.61,-5114.61
-4774.28,-4774.28,-4774.28
-4504.89,-4504.89,-4504.89
-4207.46,-4207.46,-4207.46
-3785.98,-3785.98,-3785.98
-3410.64,-3410.64,-3410.64
-2221.03,-2221.03,-2221.03
10999.9,10999.9,10999.9
12278.3,12278.3,12278.3
30314.5,30314.5,30314.5
30713.8,30713.8,30713.8
31098.1,31098.1,31098.1
34343.4,34343.4,34343.4
44555.7,44555.7,44555.7
47673.1,47673.1,47673.1
60417.5,60417.5,60417.5
61175.4,61175.4,61175.4
64747.4,64747.4,64747.4
76910.7,76910.7,76910.7
77984.7,77984.7,77984.7
81481.8,81481.8,81481.8
91134.6,91134.6,91134.6
102066,102066,102066
103426,103426,103426
112968,112968,112968
115064,115064,115064
123099,123099,123099
132431,132431,132431
132775,132775,132775
134475,134475,134475
140421,140421,140421
142312,142312,142312
146708,146708,146708
148395,148395,148395
151489,151489,151489
151777,151777,151777
152619,152619,152619
154392,154392,154392
154624,154624,154624
155273,155273,155273
155342,155342,155342
154557,154557,154557
154125,154125,154125
151756,151756,151756
150754,150754,150754
146936,146936,146936
145279,145279,145279
140244,140244,140244
138077,138077,138077
131375,131375,131375
