-139770,-139770,-139770
-137137,-137137,-137137
-132981,-132981,-132981
-114813,-114813,-114813
-112010,-112010,-112010
-106276,-106276,-106276
-83501.3,-83501.3,-83501.3
-56764.8,-56764.8,-56764.8
-50938.2,-50938.2,-50938.2
-24896.6,-24896.6,-24896.6
-16063.6,-16063.6,-16063.6
10383.2,10383.2,10383.2
20963.3,20963.3,20963.3
49102.2,49102.2,49102.2
79560.6,79560.6,79560.6
87218.2,87218.2,87218.2
116871,116871,116871
125977,125977,125977
155654,155654,155654
163690,163690,163690
191536,191536,191536
200024,200024,200024
224735,224735,224735
228532,228532,228532
234078,234078,234078
258247,258247,258247
265891,265891,265891
287414,287414,287414
308372,308372,308372
312301,312301,312301
329211,329211,329211
333242,333242,333242
346045,346045,346045
349309,349309,349309
358086,358086,358086
360215,360215,360215
364632,364632,364632
365507,365507,365507
365450,365450,365450
365155,365155,365155
360403,360403,360403
358852,358852,358852
349463,349463,349463
346704,346704,346704
332699,332699,332699
328613,328613,328613
309620,309620,309620
305093,305093,305093
283603,283603,283603
276282,276282,276282
251988,251988,251988
242222,242222,242222
218345,218345,218345
213849,213849,213849
179393,179393,179393
173631,173631,173631
139255,139255,139255
129103,129103,129103
93589.8,93589.8,93589.8
81294.9,81294.9,81294.9
45424.4,45424.4,45424.4
3936.81,3936.81,3936.81
-3928.28,-3928.28,-3928.28
-42268.9,-42268.9,-42268.9
-53773.5,-53773.5,-53773.5
-90377.7,-90377.7,-90377.7
-103834,-103834,-103834
-135828,-135828,-135828
-141735,-141735,-141735
-150939,-150939,-150939
-185583,-185583,-185583
-219702,-219702,-219702
-228061,-228061,-228061
-259069,-259069,-259069
-267405,-267405,-267405
-291317,-291317,-291317
-295574,-295574,-295574
-301671,-301671,-301671
-324174,-324174,-324174
-343994,-343994,-343994
-348281,-348281,-348281
-363083,-363083,-363083
-366081,-366081,-366081
-375153,-375153,-375153
-377036,-377036,-377036
-380210,-380210,-380210
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
-380706,-380706,-380706
